	(1)	(2)	(3)	(4)
VARIABLES	Specification 1: 2SLS	Specification 2: 2SLS	Specification 3: 2SLS robust	Specification 4: 2SLS robust
				
educ	0.0891***	0.0760***	0.0806***	0.0600**
	(0.0161)	(0.0290)	(0.0165)	(0.0292)
yr20	0.0585***	0.0972*	0.0412***	0.0925*
	(0.0105)	(0.0513)	(0.0112)	(0.0484)
yr21	0.0496***	0.0916**	0.0348***	0.0878**
	(0.00862)	(0.0460)	(0.00918)	(0.0434)
yr22	0.0405***	0.0829**	0.0294***	0.0809**
	(0.00808)	(0.0395)	(0.00846)	(0.0375)
yr23	0.0367***	0.0780**	0.0284***	0.0771**
	(0.00741)	(0.0342)	(0.00756)	(0.0325)
yr24	0.0327***	0.0710**	0.0250***	0.0687**
	(0.00701)	(0.0288)	(0.00715)	(0.0274)
yr25	0.0197***	0.0536**	0.0141**	0.0523**
	(0.00630)	(0.0241)	(0.00625)	(0.0231)
yr26	0.0198***	0.0477**	0.0137**	0.0443**
	(0.00576)	(0.0192)	(0.00573)	(0.0183)
yr27	0.0137***	0.0340**	0.00989*	0.0317**
	(0.00525)	(0.0140)	(0.00510)	(0.0133)
yr28	0.0120**	0.0233***	0.00928**	0.0214***
	(0.00485)	(0.00868)	(0.00464)	(0.00826)
race			-0.230***	-0.263***
			(0.0264)	(0.0462)
married			0.244***	0.249***
			(0.00515)	(0.00752)
smsa			-0.158***	-0.180***
			(0.0175)	(0.0307)
neweng			-0.103***	-0.115***
			(0.0109)	(0.0177)
midatl			-0.0410***	-0.0550***
			(0.0120)	(0.0203)
enocent			0.0343*	0.0125
			(0.0180)	(0.0312)
wnocent			-0.0951***	-0.110***
			(0.0132)	(0.0221)
soatl			-0.120***	-0.143***
			(0.0186)	(0.0323)
esocent			-0.136***	-0.170***
			(0.0282)	(0.0491)
wsocent			-0.0868***	-0.106***
			(0.0164)	(0.0281)
mt			-0.0880***	-0.0929***
			(0.00703)	(0.00904)
Constant	4.734***		4.744***	
	(0.210)		(0.231)	
				
Observations	329,509	329,509	329,509	329,509
R-squared	0.110	0.117	0.158	0.165
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
