	(1)	(2)	(3)	(4)
VARIABLES	Specification 1: LIML	Specification 2: LIML	Specification 3: CUE	Specification 4: CUE
				
educ	0.0929***	0.0811*	0.0857***	0.0613**
	(0.0177)	(0.0415)	(0.0165)	(0.0292)
yr20	0.0607***	0.0907	0.0443***	0.0917*
	(0.0113)	(0.0633)	(0.0112)	(0.0483)
yr21	0.0513***	0.0859	0.0371***	0.0869**
	(0.00921)	(0.0567)	(0.00920)	(0.0433)
yr22	0.0420***	0.0782	0.0319***	0.0804**
	(0.00861)	(0.0477)	(0.00848)	(0.0374)
yr23	0.0380***	0.0743*	0.0303***	0.0764**
	(0.00784)	(0.0403)	(0.00757)	(0.0325)
yr24	0.0339***	0.0683**	0.0266***	0.0680**
	(0.00738)	(0.0328)	(0.00716)	(0.0274)
yr25	0.0206***	0.0516*	0.0152**	0.0516**
	(0.00656)	(0.0268)	(0.00626)	(0.0231)
yr26	0.0205***	0.0464**	0.0150***	0.0440**
	(0.00593)	(0.0208)	(0.00574)	(0.0183)
yr27	0.0142***	0.0332**	0.0105**	0.0314**
	(0.00534)	(0.0148)	(0.00511)	(0.0133)
yr28	0.0121**	0.0228**	0.00942**	0.0211**
	(0.00487)	(0.00912)	(0.00465)	(0.00826)
race			-0.222***	-0.260***
			(0.0265)	(0.0461)
married			0.243***	0.248***
			(0.00516)	(0.00751)
smsa			-0.153***	-0.178***
			(0.0176)	(0.0307)
neweng			-0.100***	-0.114***
			(0.0110)	(0.0177)
midatl			-0.0374***	-0.0540***
			(0.0120)	(0.0203)
enocent			0.0397**	0.0139
			(0.0180)	(0.0312)
wnocent			-0.0911***	-0.109***
			(0.0132)	(0.0221)
soatl			-0.115***	-0.141***
			(0.0187)	(0.0323)
esocent			-0.127***	-0.168***
			(0.0282)	(0.0491)
wsocent			-0.0817***	-0.105***
			(0.0164)	(0.0281)
mt			-0.0868***	-0.0926***
			(0.00704)	(0.00903)
Constant	4.685***		4.672***	
	(0.231)		(0.231)	
				
Observations	329,509	329,509	329,509	329,509
R-squared	0.107	0.115	0.154	0.165
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
