	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
age	816,435	38.49	5.837	30	50
ageq	816,435	38.86	5.829	30.25	50
educ	816,435	13.25	3.130	0	20
enocent	816,435	0.198	0.398	0	1
esocent	816,435	0.0660	0.248	0	1
lwklywge	816,435	5.839	0.661	-2.342	11.23
married	816,435	0.828	0.378	0	1
midatl	816,435	0.155	0.362	0	1
mt	816,435	0.0512	0.220	0	1
neweng	816,435	0.0565	0.231	0	1
pac	816,435	0.127	0.333	0	1
census	816,435	80	0	80	80
qob	816,435	2.525	1.114	1	4
race	816,435	0.0817	0.274	0	1
smsa	816,435	0.186	0.389	0	1
soatl	816,435	0.170	0.375	0	1
state	816,435	28.79	15.29	1	56
wnocent	816,435	0.0782	0.268	0	1
wsocent	816,435	0.0980	0.297	0	1
yob	816,435	40.76	5.819	30	49
cohort	816,435	36.41	4.955	30.39	40.49
ageqsq	816,435	1,544	463.8	915.1	2,500
yr20	816,435	0.0880	0.283	0	1
yr21	816,435	0.0845	0.278	0	1
yr22	816,435	0.0946	0.293	0	1
yr23	816,435	0.0944	0.292	0	1
yr24	816,435	0.0935	0.291	0	1
yr25	816,435	0.0947	0.293	0	1
yr26	816,435	0.106	0.308	0	1
yr27	816,435	0.116	0.320	0	1
yr28	816,435	0.114	0.318	0	1
yr29	816,435	0.114	0.318	0	1
qtr1	816,435	0.244	0.430	0	1
qtr2	816,435	0.239	0.426	0	1
qtr3	816,435	0.265	0.442	0	1
qtr4	816,435	0.252	0.434	0	1
qtr120	816,435	0.0217	0.146	0	1
qtr121	816,435	0.0208	0.143	0	1
qtr122	816,435	0.0228	0.149	0	1
qtr123	816,435	0.0240	0.153	0	1
qtr124	816,435	0.0229	0.150	0	1
qtr125	816,435	0.0232	0.150	0	1
qtr126	816,435	0.0233	0.151	0	1
qtr127	816,435	0.0295	0.169	0	1
qtr128	816,435	0.0282	0.166	0	1
qtr129	816,435	0.0279	0.165	0	1
qtr220	816,435	0.0217	0.146	0	1
qtr221	816,435	0.0206	0.142	0	1
qtr222	816,435	0.0222	0.147	0	1
qtr223	816,435	0.0231	0.150	0	1
qtr224	816,435	0.0222	0.147	0	1
qtr225	816,435	0.0229	0.150	0	1
qtr226	816,435	0.0237	0.152	0	1
qtr227	816,435	0.0283	0.166	0	1
qtr228	816,435	0.0268	0.162	0	1
qtr229	816,435	0.0272	0.163	0	1
qtr320	816,435	0.0232	0.151	0	1
qtr321	816,435	0.0224	0.148	0	1
qtr322	816,435	0.0248	0.156	0	1
qtr323	816,435	0.0243	0.154	0	1
qtr324	816,435	0.0248	0.155	0	1
qtr325	816,435	0.0252	0.157	0	1
qtr326	816,435	0.0293	0.169	0	1
qtr327	816,435	0.0305	0.172	0	1
qtr328	816,435	0.0303	0.172	0	1
qtr329	816,435	0.0305	0.172	0	1
tag	816,435	0.404	0.491	0	1
wklywge30	816,435	410.4	370.0	0.0962	75,000
					
