	(1)	(2)	(3)	(4)
VARIABLES	Specification 1: 2SLS	Specification 2: 2SLS	Specification 3: 2SLS	Specification 4: 2SLS
				
educ	0.0891***	0.0730**	0.0806***	0.0574*
	(0.0161)	(0.0295)	(0.0164)	(0.0294)
yr20	0.0585***	0.101*	0.0412***	0.0953**
	(0.0105)	(0.0518)	(0.0111)	(0.0483)
yr21	0.0496***	0.0949**	0.0348***	0.0901**
	(0.00862)	(0.0464)	(0.00913)	(0.0433)
yr22	0.0405***	0.0854**	0.0294***	0.0827**
	(0.00808)	(0.0398)	(0.00836)	(0.0375)
yr23	0.0367***	0.0800**	0.0284***	0.0785**
	(0.00741)	(0.0344)	(0.00754)	(0.0326)
yr24	0.0327***	0.0723**	0.0250***	0.0697**
	(0.00701)	(0.0289)	(0.00711)	(0.0275)
yr25	0.0197***	0.0546**	0.0141**	0.0529**
	(0.00630)	(0.0242)	(0.00623)	(0.0233)
yr26	0.0198***	0.0483**	0.0137**	0.0447**
	(0.00576)	(0.0193)	(0.00578)	(0.0184)
yr27	0.0137***	0.0343**	0.00989*	0.0319**
	(0.00525)	(0.0140)	(0.00519)	(0.0135)
yr28	0.0120**	0.0235***	0.00928*	0.0215**
	(0.00485)	(0.00868)	(0.00474)	(0.00835)
race			-0.230***	-0.267***
			(0.0261)	(0.0465)
married			0.244***	0.249***
			(0.00487)	(0.00735)
smsa			-0.158***	-0.182***
			(0.0174)	(0.0310)
neweng			-0.103***	-0.117***
			(0.0110)	(0.0179)
midatl			-0.0410***	-0.0567***
			(0.0119)	(0.0205)
enocent			0.0343*	0.00980
			(0.0178)	(0.0315)
wnocent			-0.0951***	-0.112***
			(0.0130)	(0.0222)
soatl			-0.120***	-0.146***
			(0.0184)	(0.0326)
esocent			-0.136***	-0.174***
			(0.0279)	(0.0495)
wsocent			-0.0868***	-0.109***
			(0.0162)	(0.0283)
mt			-0.0880***	-0.0935***
			(0.00701)	(0.00910)
ageq		-0.0773		-0.0717
		(0.0647)		(0.0628)
ageqsq		0.000793		0.000711
		(0.000738)		(0.000715)
Constant	4.734***	6.776***	4.744***	6.808***
	(0.210)	(1.395)	(0.229)	(1.362)
				
Observations	329,509	329,509	329,509	329,509
R-squared	0.110	0.118	0.158	0.164
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
